Source,Target
38002,37961
37881,37885
37881,37892
37893,37997
37980,37855
37980,37904
37980,37895
37915,37960
37915,38017
37998,37906
37998,37985
37998,37868
37998,37922
37998,37996
37998,37886
38007,37965
37982,37849
37910,37941
37851,37922
37851,37976
37993,37968
37880,37979
37880,37890
37880,38003
37880,37891
37917,37926
37917,37859
37917,37986
38008,37914
38008,37931
38008,37850
38008,38006
37859,37965
37859,38008
37909,37981
37876,38012
38011,37995
38011,37850
38011,37879
38011,37880
38016,37926
37922,37849
37922,37898
37922,37927
37922,37850
37849,37926
38019,37940
38019,38020
37992,37849
37992,37926
37986,37914
37930,37940
37888,38007
37916,37906
37916,37918
37999,37865
37999,37967
37999,38022
37867,37878
37867,37997
37867,37958
37867,37890
37879,37988
37879,37855
37891,37985
37891,38006
37891,37967
37891,37945
37853,37855
37853,37933
37945,38006
37945,37891
37878,37997
37878,37906
37878,37886
37878,37895
37878,37855
37878,37904
37955,37979
37955,37966
38003,37879
38003,37880
38003,37970
38003,37906
38003,37893
38003,37974
38003,37873
37918,37906
37918,37931
37918,37945
37906,37878
37906,37997
37906,37904
37936,37965
37936,37928
37855,37878
37855,37997
37855,37933
38001,38000
38001,37926
37942,37994
37942,37900
37923,37893
37921,37914
37921,37936
37883,37931
37956,37990
37874,37919
37874,38005
37874,38006
37874,37916
37874,38020
37857,37906
37857,37867
37857,37967
37857,37993
37857,37997
37904,37878
37904,37906
37904,37997
38020,37996
38020,37940
38020,38019
38006,37891
38006,37906
38006,37959
38006,38010
37894,37878
37894,37890
37965,38008
37965,37931
37965,37936
37965,37947
37995,38011
37995,38010
37937,37906
37985,37996
37985,37878
37985,37997
37914,37920
37914,37970
37914,37974
37933,37855
37933,37997
37988,37995
37988,37906
37951,37997
37951,37906
37951,37958
37951,37931
37951,37973
37950,37906
37950,37862
37979,37955
37929,37934
37929,37915
37947,37868
37947,37960
37947,37995
37947,38008
37947,37888
37870,38019
37870,37940
37889,38008
37889,38006
37858,37971
37858,37936
37927,37997
37927,37878
37960,37915
37960,37980
37887,37902
37854,37964
37854,37975
37852,37909
37852,37882
37932,37936
37932,37909
37932,37866
37865,37999
37865,38020
37865,38005
37907,37989
37907,37988
37996,37993
37996,38005
37996,37994
37970,37974
37970,37927
37970,37920
37885,37931
37983,38014
37983,37902
37983,37977
37983,37856
37939,37940
37939,37963
37939,37981
37939,37993
37939,37870
37978,37923
37898,37922
37898,37962
37898,37959
37898,37981
37898,37947
37966,37955
37966,37989
37966,37996
37966,37948
37944,37978
37944,37850
37884,37965
37884,37926
37882,37928
37882,37898
37882,37989
37953,37970
38000,37990
38015,37906
38015,37985
37977,37907
37977,38013
37934,37996
37934,37948
37961,37958
37961,37979
37962,37906
37974,37970
37974,37906
37974,37920
37974,37904
37974,37927
37896,37996
37896,37900
37873,37874
37873,37954
37905,37998
37895,37886
37895,37890
37895,37902
37976,37898
37989,37850
37989,38022
37989,37955
37860,37995
37860,37885
38022,38019
38022,37967
37940,37981
37920,37914
37920,37974
37908,37940
37908,37993
37908,38019
37908,37981
38014,37981
38014,37940
38014,37993
37872,37898
37872,37997
37863,37936
37863,37965
37959,37931
37959,37928
37959,38006
37967,38022
37967,37999
37967,37874
37967,37924
37969,38006
37969,37959
37963,37981
37963,37993
37963,37939
37963,37968
37850,37989
37850,38008
37850,37922
38013,38021
38013,37977
37990,37891
37990,38006
37990,38012
37877,37961
38012,37916
38012,37990
37868,37947
37868,37888
37868,37916
37886,37958
37886,37890
37886,37878
37886,37867
37897,38005
37954,37906
37981,37941
37981,37940
37981,37968
37981,38014
37981,37870
37900,37941
37924,37958
37924,37990
37924,38019
37924,37988
37869,37926
37994,37996
37994,37942
37994,37934
37994,37985
37994,38017
37946,37892
37946,37885
37864,38007
37901,37949
37901,37975
37948,37934
37948,37906
38005,37911
37973,37906
37973,37997
37973,37878
38017,37942
38017,37996
37866,37914
37866,37909
37866,37972
37919,37966
37919,38020
37919,37874
37972,37985
37972,37962
38010,37998
37938,37873
37941,37934
37984,37878
37984,37893
37949,37901
37949,37975
37856,37958
37975,37931
37892,37885
37892,37881
37928,37876
37928,37887
38021,38013
38021,37977
37902,37887
37902,37906
37890,37880
37890,37879
37890,37886
37890,37933
37890,37878
37890,37867
37890,37997
37890,37951
37926,37878
37926,37997